,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,18.0,210.0,95.9,2.33,5.0,5.0,5.0,3.0,0.27,0.55,0.83,55600.0,5754.54,0.3,0.19,0.2,0.08,5323.52,drivens
村上 淳,13.0,152.0,-285.2,2.92,0.0,4.0,6.0,3.0,0.0,0.3,0.76,30000.0,5611.11,0.21,0.24,0.11,0.08,5376.92,drivens
鈴木 たろう,15.0,203.0,-37.0,2.46,3.0,6.0,2.0,4.0,0.2,0.6,0.73,51600.0,7105.71,0.26,0.16,0.17,0.1,5714.28,drivens
丸山 奏子,8.0,99.0,-259.7,3.25,0.0,2.0,2.0,4.0,0.0,0.25,0.5,46700.0,7900.0,0.19,0.24,0.11,0.12,5900.0,drivens
二階堂 亜樹,15.0,174.0,-16.8,2.66,4.0,2.0,4.0,5.0,0.26,0.4,0.66,59500.0,7177.77,0.14,0.19,0.2,0.1,5527.77,EX
勝又 健志,14.0,165.0,207.6,2.07,5.0,4.0,4.0,1.0,0.35,0.64,0.92,61200.0,6164.28,0.18,0.2,0.25,0.08,6828.57,EX
松ヶ瀬 隆弥,14.0,178.0,150.5,2.14,5.0,5.0,1.0,3.0,0.35,0.71,0.78,51200.0,7591.17,0.19,0.23,0.19,0.09,6523.52,EX
二階堂 瑠美,13.0,149.0,-33.1,2.69,5.0,0.0,2.0,6.0,0.38,0.38,0.53,72300.0,6665.51,0.16,0.17,0.19,0.13,5515.0,EX
内川 幸太郎,13.0,165.0,-97.3,2.73,3.0,2.0,4.0,4.0,0.23,0.38,0.69,59600.0,7452.17,0.25,0.23,0.13,0.11,5363.15,sakura
岡田 紗佳,11.0,123.0,-80.2,2.81,3.0,1.0,2.0,5.0,0.27,0.36,0.54,64100.0,7030.43,0.19,0.21,0.18,0.12,3553.33,sakura
堀 慎吾,16.0,195.0,60.0,2.56,5.0,3.0,2.0,6.0,0.31,0.5,0.62,60200.0,6172.91,0.26,0.17,0.24,0.12,4962.5,sakura
渋川 難波,16.0,197.0,-74.5,2.62,4.0,3.0,4.0,5.0,0.25,0.43,0.68,56700.0,7016.12,0.21,0.19,0.15,0.16,3990.62,sakura
滝沢 和典,13.0,167.0,-106.7,2.76,2.0,3.0,4.0,4.0,0.15,0.38,0.69,46200.0,6956.25,0.14,0.22,0.19,0.08,5507.14,konami
佐々木 寿人,15.0,175.0,-24.8,2.53,4.0,3.0,4.0,4.0,0.26,0.46,0.73,49200.0,6163.15,0.22,0.25,0.21,0.11,5410.0,konami
高宮 まり,13.0,156.0,272.3,2.0,5.0,4.0,3.0,1.0,0.38,0.69,0.92,66400.0,8010.81,0.25,0.23,0.23,0.08,6621.42,konami
伊達 朱里紗,15.0,181.0,196.4,2.2,6.0,3.0,3.0,3.0,0.4,0.6,0.8,58800.0,7490.9,0.19,0.18,0.18,0.09,4858.82,konami
多井 隆晴,14.0,178.0,60.0,2.28,4.0,4.0,4.0,2.0,0.28,0.57,0.85,60400.0,5422.72,0.2,0.19,0.24,0.14,5516.0,abemas
白鳥 翔,14.0,179.0,-32.2,2.5,3.0,4.0,4.0,3.0,0.21,0.5,0.78,77200.0,6102.63,0.26,0.16,0.21,0.13,5040.0,abemas
松本 吉弘,14.0,177.0,60.0,2.42,4.0,4.0,2.0,4.0,0.28,0.57,0.71,57100.0,7153.65,0.24,0.22,0.23,0.12,7439.13,abemas
日向 藍子,12.0,135.0,124.9,2.16,2.0,6.0,4.0,0.0,0.16,0.66,1.0,65800.0,8122.22,0.2,0.2,0.2,0.08,5145.45,abemas
魚谷 侑未,16.0,204.0,-182.4,2.75,3.0,3.0,5.0,5.0,0.18,0.37,0.68,43400.0,5764.51,0.24,0.2,0.15,0.1,4186.36,sega_summy
近藤 誠一,12.0,143.0,-221.4,2.91,1.0,3.0,4.0,4.0,0.08,0.33,0.66,53300.0,6814.28,0.21,0.25,0.14,0.11,6462.5,sega_summy
茅森 早香,16.0,226.0,-3.9,2.53,3.0,5.0,5.0,3.0,0.18,0.5,0.81,90000.0,7393.33,0.19,0.24,0.19,0.11,7144.44,sega_summy
東城 りお,12.0,153.0,6.3,2.5,3.0,3.0,3.0,3.0,0.25,0.5,0.75,50400.0,7451.85,0.14,0.19,0.17,0.09,5686.66,sega_summy
萩原 聖人,10.0,126.0,-140.3,2.7,2.0,3.0,1.0,4.0,0.2,0.5,0.6,40200.0,6694.44,0.1,0.24,0.14,0.13,6029.41,raiden
瀬戸熊 直樹,14.0,177.0,-99.4,2.64,1.0,6.0,4.0,3.0,0.07,0.5,0.78,53900.0,6377.5,0.12,0.25,0.22,0.07,6300.0,raiden
黒沢 咲,14.0,179.0,47.5,2.57,3.0,2.0,7.0,2.0,0.21,0.35,0.85,112700.0,7069.44,0.07,0.26,0.2,0.06,5181.81,raiden
本田 朋広,16.0,208.0,380.4,1.93,9.0,3.0,0.0,4.0,0.56,0.75,0.75,63900.0,7035.29,0.25,0.24,0.24,0.09,5745.0,raiden
